test/success_rate,epoch,stats_o/mean,train/episode,stats_g/std,stats_g/mean,test/mean_Q,train/success_rate,test/episode,stats_o/std
0.0,0,0.26235905,20.0,0.09069506,0.88190395,-1.3209059,0.0,20.0,0.03280782
0.0,1,0.2625073,40.0,0.087868124,0.8751607,-1.7528546,0.0,40.0,0.028957237
0.0,2,0.26245615,60.0,0.087719046,0.8724742,-2.1609523,0.0,60.0,0.026758835
0.05,3,0.26241016,80.0,0.08667006,0.8744362,-2.4510899,0.0,80.0,0.025366683
0.0,4,0.26228237,100.0,0.08753932,0.87356496,-2.9796224,0.0,100.0,0.024411151
0.1,5,0.26256675,120.0,0.08752448,0.8737715,-3.2334666,0.05,120.0,0.024300862
0.05,6,0.2622635,140.0,0.08711613,0.8721549,-3.5868568,0.05,140.0,0.023908019
0.35,7,0.26212242,160.0,0.08640001,0.874067,-3.4373474,0.2,160.0,0.023572639
0.35,8,0.26188695,180.0,0.08633867,0.87369746,-3.8821297,0.25,180.0,0.023314055
0.65,9,0.26152253,200.0,0.08669236,0.8738944,-3.7187889,0.25,200.0,0.023715228
0.55,10,0.26131457,220.0,0.08675126,0.87426704,-4.351383,0.2,220.0,0.023802927
0.7,11,0.26119602,240.0,0.0868048,0.87370366,-3.7071075,0.5,240.0,0.024006903
0.65,12,0.26127118,260.0,0.087095894,0.8745074,-4.0765514,0.55,260.0,0.024273144
0.8,13,0.26133195,280.0,0.08686459,0.8748627,-3.2948868,0.75,280.0,0.024609303
0.9,14,0.2615295,300.0,0.08690717,0.87563044,-3.3442929,0.8,300.0,0.025088575
0.85,15,0.26167664,320.0,0.0870349,0.8765325,-2.893296,0.8,320.0,0.025512855
0.9,16,0.26167786,340.0,0.08725541,0.8764792,-3.5430233,0.8,340.0,0.025964122
1.0,17,0.26168633,360.0,0.08708832,0.8756469,-2.5469775,0.9,360.0,0.026270473
1.0,18,0.26153228,380.0,0.08702317,0.875073,-2.3824112,0.9,380.0,0.026588341
0.9,19,0.26165888,400.0,0.087319635,0.8755529,-3.2895482,0.8,400.0,0.027043575
1.0,20,0.2617359,420.0,0.08745737,0.87560636,-2.89671,0.95,420.0,0.027391419
1.0,21,0.26177078,440.0,0.08771493,0.8756943,-2.8813326,0.9,440.0,0.02772748
1.0,22,0.2619886,460.0,0.08749858,0.87629795,-2.5134845,0.9,460.0,0.027879369
1.0,23,0.2621175,480.0,0.0874233,0.8766451,-2.3058653,0.95,480.0,0.028042126
1.0,24,0.26210284,500.0,0.08734494,0.8764301,-2.2819376,0.95,500.0,0.028157577
1.0,25,0.26205364,520.0,0.08739409,0.8761824,-2.3590224,1.0,520.0,0.028316934
1.0,26,0.26200843,540.0,0.087178566,0.8759427,-2.1620276,0.95,540.0,0.028377092
1.0,27,0.26218158,560.0,0.08709117,0.87656933,-2.5419192,0.85,560.0,0.02846918
1.0,28,0.26208168,580.0,0.08685416,0.87613696,-1.9631529,0.75,580.0,0.028536862
1.0,29,0.26197615,600.0,0.086957075,0.8756563,-1.9766077,0.7,600.0,0.028644864
1.0,30,0.26201016,620.0,0.08677119,0.87562084,-1.9179227,0.9,620.0,0.028692905
1.0,31,0.26209712,640.0,0.0869567,0.8758654,-2.5932622,0.85,640.0,0.028824499
1.0,32,0.26217258,660.0,0.08697319,0.8760527,-2.3297896,0.85,660.0,0.02894688
1.0,33,0.26216957,680.0,0.08712068,0.87593955,-2.0611382,0.9,680.0,0.02905815
1.0,34,0.26217967,700.0,0.08704331,0.8759393,-2.0875874,0.9,700.0,0.02914556
1.0,35,0.26224098,720.0,0.08695739,0.8760881,-2.0119216,0.7,720.0,0.029177886
1.0,36,0.2622589,740.0,0.086791866,0.8760678,-1.8738852,0.8,740.0,0.0292218
1.0,37,0.26210013,760.0,0.08685473,0.87542015,-1.9619458,0.8,760.0,0.029318184
1.0,38,0.26205555,780.0,0.086990334,0.8751448,-2.1773102,0.75,780.0,0.029377436
1.0,39,0.2621817,800.0,0.086978495,0.8754825,-2.0984945,0.75,800.0,0.029415524
1.0,40,0.26219645,820.0,0.08694309,0.8754551,-1.8460602,0.9,820.0,0.029456984
1.0,41,0.26224747,840.0,0.086927675,0.8755794,-1.9813402,0.7,840.0,0.029494818
1.0,42,0.26222238,860.0,0.08692622,0.87541133,-1.6448324,0.8,860.0,0.029537821
1.0,43,0.26234514,880.0,0.08691001,0.8757334,-1.8338368,1.0,880.0,0.02958085
1.0,44,0.26246518,900.0,0.08687361,0.8761508,-1.615318,0.85,900.0,0.029610138
1.0,45,0.26246816,920.0,0.08674956,0.87618214,-1.6480032,0.85,920.0,0.02961963
1.0,46,0.26253182,940.0,0.0868988,0.8763985,-1.6475518,0.9,940.0,0.029715812
1.0,47,0.2626596,960.0,0.08704492,0.8767846,-1.9886875,0.9,960.0,0.029797912
1.0,48,0.26272076,980.0,0.08711782,0.8770654,-1.7938662,0.75,980.0,0.029837549
1.0,49,0.26277134,1000.0,0.08693481,0.87722427,-1.444319,0.65,1000.0,0.029823938
1.0,50,0.26273498,1020.0,0.086782016,0.87702817,-1.2930939,0.9,1020.0,0.029821698
1.0,51,0.26265857,1040.0,0.086721756,0.876695,-1.4171689,0.9,1040.0,0.029824536
1.0,52,0.26264104,1060.0,0.08670475,0.87659866,-1.4867579,0.9,1060.0,0.029836569
1.0,53,0.26266173,1080.0,0.086515784,0.8766553,-1.1263137,0.9,1080.0,0.02980483
1.0,54,0.26271003,1100.0,0.086598426,0.8768007,-1.3984632,0.7,1100.0,0.02986527
1.0,55,0.2627112,1120.0,0.08659048,0.87677693,-1.4635773,0.85,1120.0,0.02988111
1.0,56,0.2627357,1140.0,0.08647781,0.87688714,-1.2411029,0.85,1140.0,0.029867958
1.0,57,0.2626858,1160.0,0.08633751,0.8766878,-1.1940473,0.9,1160.0,0.029847268
1.0,58,0.26268893,1180.0,0.08630806,0.876697,-1.3830335,0.8,1180.0,0.029859787
1.0,59,0.26273862,1200.0,0.08638555,0.8768668,-1.4118363,1.0,1200.0,0.02987926
1.0,60,0.2628265,1220.0,0.08632108,0.87721914,-1.1773331,0.9,1220.0,0.029874567
1.0,61,0.26277626,1240.0,0.086413525,0.8770203,-1.2645228,0.8,1240.0,0.02991642
1.0,62,0.2627972,1260.0,0.086360835,0.8770841,-1.297981,0.6,1260.0,0.029912155
1.0,63,0.26287758,1280.0,0.08637164,0.8773423,-1.2576542,0.85,1280.0,0.029928327
1.0,64,0.2628577,1300.0,0.086439885,0.8772614,-1.1603434,1.0,1300.0,0.029972712
0.9,65,0.26284206,1320.0,0.08630842,0.87719744,-0.8865506,0.95,1320.0,0.029968124
1.0,66,0.26281944,1340.0,0.08623961,0.8770965,-1.1675268,0.8,1340.0,0.029955909
1.0,67,0.26276216,1360.0,0.08628694,0.87690884,-1.227999,0.75,1360.0,0.029989084
1.0,68,0.26268882,1380.0,0.08612075,0.87660164,-0.8145553,0.8,1380.0,0.029971074
1.0,69,0.26267397,1400.0,0.08608929,0.87657446,-1.1719314,0.9,1400.0,0.029978078
1.0,70,0.2626329,1420.0,0.08615074,0.87641853,-1.0421674,0.85,1420.0,0.030006086
1.0,71,0.26266623,1440.0,0.08619516,0.8765432,-1.3167825,0.9,1440.0,0.03003544
1.0,72,0.26267973,1460.0,0.086169414,0.8765816,-0.97915685,0.75,1460.0,0.030030925
1.0,73,0.26267242,1480.0,0.08622387,0.876568,-1.2063019,0.85,1480.0,0.030054312
1.0,74,0.2626807,1500.0,0.08612349,0.8766095,-0.86282814,0.85,1500.0,0.0300326
0.95,75,0.26276487,1520.0,0.08612891,0.87694114,-1.0690242,0.8,1520.0,0.030052055
1.0,76,0.2627428,1540.0,0.08617157,0.87684727,-1.037051,0.85,1540.0,0.030077001
0.95,77,0.262757,1560.0,0.08618969,0.8768961,-1.0411062,0.8,1560.0,0.030101717
1.0,78,0.26275763,1580.0,0.08625904,0.8768557,-1.0648148,0.9,1580.0,0.03014791
1.0,79,0.2627836,1600.0,0.0862106,0.8769652,-1.0813938,0.75,1600.0,0.030142039
1.0,80,0.2627644,1620.0,0.08615046,0.8768671,-0.90350735,0.8,1620.0,0.030134697
1.0,81,0.26271665,1640.0,0.08616369,0.876712,-1.0566658,0.9,1640.0,0.030147452
1.0,82,0.26266766,1660.0,0.08612901,0.8765197,-0.8037073,0.85,1660.0,0.030138582
1.0,83,0.26267081,1680.0,0.086119115,0.87646776,-0.7809843,0.75,1680.0,0.030150395
1.0,84,0.26261455,1700.0,0.08600179,0.8762815,-0.6557324,0.9,1700.0,0.030135412
1.0,85,0.2626292,1720.0,0.08604911,0.87629694,-0.8563693,0.7,1720.0,0.030159896
1.0,86,0.26260927,1740.0,0.0861482,0.87620884,-0.94934607,0.85,1740.0,0.030183664
1.0,87,0.26265168,1760.0,0.08625766,0.8763423,-1.1985115,0.8,1760.0,0.030215625
1.0,88,0.2626552,1780.0,0.086188294,0.8763302,-0.695995,0.9,1780.0,0.030211743
1.0,89,0.26263356,1800.0,0.08618898,0.8762293,-0.7539139,0.9,1800.0,0.030222267
1.0,90,0.2626327,1820.0,0.08618588,0.87620974,-0.6172664,0.9,1820.0,0.030226227
1.0,91,0.2626364,1840.0,0.086210735,0.8762083,-0.8676735,0.85,1840.0,0.030235603
1.0,92,0.26261374,1860.0,0.08627772,0.8761077,-1.0207456,0.8,1860.0,0.030252185
1.0,93,0.2625653,1880.0,0.086230375,0.8759013,-0.61612666,0.7,1880.0,0.030246343
1.0,94,0.262581,1900.0,0.08624515,0.8759549,-0.72576755,0.75,1900.0,0.030255426
1.0,95,0.26255062,1920.0,0.08623606,0.87582785,-0.9591471,0.65,1920.0,0.030255113
1.0,96,0.2625932,1940.0,0.08627558,0.8759737,-0.668821,0.65,1940.0,0.03026947
1.0,97,0.2626178,1960.0,0.086263895,0.8760322,-0.67984164,0.75,1960.0,0.030265203
1.0,98,0.26254377,1980.0,0.086238176,0.8757474,-0.80898106,0.9,1980.0,0.03027013
1.0,99,0.26258713,2000.0,0.08633796,0.8759063,-0.7579552,0.8,2000.0,0.030310016
1.0,100,0.26257524,2020.0,0.086282335,0.87587124,-0.6146725,0.75,2020.0,0.030296046
1.0,101,0.26257616,2040.0,0.08625635,0.87588173,-0.6516683,0.9,2040.0,0.030292278
1.0,102,0.2625987,2060.0,0.08629548,0.875987,-0.7152417,0.7,2060.0,0.030302653
1.0,103,0.26264095,2080.0,0.08624079,0.8761229,-0.61685693,0.75,2080.0,0.030298013
1.0,104,0.26259452,2100.0,0.08621913,0.87591964,-0.6169298,0.75,2100.0,0.030294975
1.0,105,0.26261014,2120.0,0.086164065,0.87600416,-0.5295866,0.85,2120.0,0.03028271
1.0,106,0.26259372,2140.0,0.08610898,0.87593824,-0.35981223,0.8,2140.0,0.030270135
1.0,107,0.26254895,2160.0,0.08607622,0.875784,-0.5482063,0.9,2160.0,0.03026222
1.0,108,0.26254404,2180.0,0.08603558,0.8757086,-0.4749504,0.9,2180.0,0.030254176
1.0,109,0.26252592,2200.0,0.08604434,0.8756229,-0.59387815,0.8,2200.0,0.030267466
1.0,110,0.26255336,2220.0,0.085996814,0.87572336,-0.39529637,0.85,2220.0,0.030258095
1.0,111,0.26255375,2240.0,0.08596573,0.8757193,-0.47235355,0.8,2240.0,0.030255854
1.0,112,0.2625364,2260.0,0.08599099,0.8756387,-0.5751436,0.75,2260.0,0.030263122
1.0,113,0.26253173,2280.0,0.08597163,0.87561387,-0.4536737,0.8,2280.0,0.030260095
1.0,114,0.26250237,2300.0,0.08588928,0.8755196,-0.3936507,0.8,2300.0,0.03023918
1.0,115,0.2625082,2320.0,0.08589778,0.8755045,-0.53466207,0.95,2320.0,0.03024447
1.0,116,0.26250842,2340.0,0.08587891,0.87548095,-0.48431388,0.7,2340.0,0.030234987
1.0,117,0.26252347,2360.0,0.08585286,0.87554866,-0.64400005,0.8,2360.0,0.030230358
1.0,118,0.26248986,2380.0,0.0858613,0.8754404,-0.45752907,0.7,2380.0,0.030240972
1.0,119,0.26249045,2400.0,0.085885525,0.8754332,-0.6492765,0.8,2400.0,0.030254269
1.0,120,0.2625144,2420.0,0.08591479,0.8755091,-0.43316245,0.75,2420.0,0.030270029
1.0,121,0.26258427,2440.0,0.08599428,0.8757468,-0.7525104,0.65,2440.0,0.030292982
1.0,122,0.2625675,2460.0,0.0859951,0.87570924,-0.3849942,0.6,2460.0,0.03029489
1.0,123,0.26256603,2480.0,0.08593228,0.87568957,-0.3645282,0.8,2480.0,0.030284842
1.0,124,0.26254207,2500.0,0.08587178,0.8755894,-0.2401109,1.0,2500.0,0.030273255
1.0,125,0.26253006,2520.0,0.08586284,0.87553185,-0.4280447,0.75,2520.0,0.030271936
1.0,126,0.26251903,2540.0,0.085789114,0.875496,-0.35039514,0.8,2540.0,0.030263271
1.0,127,0.26249832,2560.0,0.08579838,0.87544173,-0.5465542,0.8,2560.0,0.030266399
1.0,128,0.26247817,2580.0,0.085769616,0.8753709,-0.35403293,0.65,2580.0,0.030264314
1.0,129,0.2624957,2600.0,0.08570347,0.87544775,-0.35272044,0.75,2600.0,0.030252296
1.0,130,0.26245686,2620.0,0.0857233,0.8753009,-0.4333602,0.8,2620.0,0.030252451
1.0,131,0.26245636,2640.0,0.0856644,0.8753006,-0.24864945,0.6,2640.0,0.030240024
1.0,132,0.2624691,2660.0,0.08564543,0.8753331,-0.33715641,0.8,2660.0,0.030238405
1.0,133,0.2624609,2680.0,0.08565577,0.875299,-0.53100246,0.8,2680.0,0.030244881
1.0,134,0.2624696,2700.0,0.08569742,0.8753403,-0.5066798,0.85,2700.0,0.030253742
1.0,135,0.26246956,2720.0,0.08570793,0.8753474,-0.44646916,0.8,2720.0,0.030260056
1.0,136,0.26247698,2740.0,0.0856852,0.87537724,-0.29368922,0.55,2740.0,0.03025503
1.0,137,0.26247045,2760.0,0.08568493,0.87538236,-0.37944442,0.8,2760.0,0.03025726
1.0,138,0.26248223,2780.0,0.08569869,0.87543845,-0.42210808,0.95,2780.0,0.03026115
1.0,139,0.26244894,2800.0,0.08567067,0.87532204,-0.31822354,0.75,2800.0,0.030262142
1.0,140,0.26240253,2820.0,0.08573192,0.875119,-0.5250038,0.95,2820.0,0.030279774
1.0,141,0.26240274,2840.0,0.085764356,0.8751084,-0.36144882,0.9,2840.0,0.03028987
1.0,142,0.2624088,2860.0,0.08578324,0.8751406,-0.3647046,0.8,2860.0,0.030293439
1.0,143,0.26241103,2880.0,0.08580405,0.87514925,-0.30973512,0.8,2880.0,0.03029998
1.0,144,0.26241618,2900.0,0.0857927,0.8751704,-0.25704694,0.55,2900.0,0.030306008
1.0,145,0.26240546,2920.0,0.085796796,0.8751132,-0.21127081,0.75,2920.0,0.03030786
1.0,146,0.26239043,2940.0,0.08585147,0.8750713,-0.43399197,0.85,2940.0,0.030322492
1.0,147,0.26238254,2960.0,0.08583955,0.87504655,-0.27802193,0.8,2960.0,0.030318763
1.0,148,0.2624163,2980.0,0.08586634,0.87517524,-0.3185372,0.75,2980.0,0.030326854
1.0,149,0.26240444,3000.0,0.08584145,0.8751294,-0.17950165,0.85,3000.0,0.030320596
1.0,150,0.26241443,3020.0,0.08592504,0.87515426,-0.41870785,0.75,3020.0,0.030347485
1.0,151,0.26241413,3040.0,0.08590343,0.87516433,-0.18236509,0.85,3040.0,0.0303371
1.0,152,0.26244292,3060.0,0.08593893,0.87526554,-0.35953942,0.75,3060.0,0.030350918
1.0,153,0.2624474,3080.0,0.08592937,0.8752746,-0.20926318,0.9,3080.0,0.030351171
1.0,154,0.2624503,3100.0,0.085939504,0.87528306,-0.37470463,0.85,3100.0,0.03036265
1.0,155,0.2624744,3120.0,0.08600078,0.8753722,-0.34871992,0.85,3120.0,0.030378157
1.0,156,0.26247585,3140.0,0.08603966,0.87535137,-0.31471366,0.9,3140.0,0.030392397
1.0,157,0.26248986,3160.0,0.08603441,0.87541026,-0.3111853,0.85,3160.0,0.03039762
1.0,158,0.26250046,3180.0,0.08606013,0.8754577,-0.26791555,0.9,3180.0,0.030400509
1.0,159,0.2624968,3200.0,0.08612447,0.87542176,-0.32724148,0.7,3200.0,0.030416781
1.0,160,0.2624935,3220.0,0.08609465,0.87539387,-0.22366056,0.75,3220.0,0.030403187
1.0,161,0.26251537,3240.0,0.08609135,0.8754606,-0.188603,0.75,3240.0,0.03040542
1.0,162,0.26251286,3260.0,0.086106665,0.8754511,-0.25820094,0.8,3260.0,0.030406576
1.0,163,0.26254946,3280.0,0.086114824,0.8755739,-0.30543172,0.8,3280.0,0.03041305
1.0,164,0.26255777,3300.0,0.086138815,0.87559646,-0.26329738,0.6,3300.0,0.030419838
1.0,165,0.26258284,3320.0,0.08610177,0.8756845,-0.18633047,0.75,3320.0,0.030407
1.0,166,0.2626045,3340.0,0.08613374,0.8757675,-0.22555542,0.75,3340.0,0.030418497
1.0,167,0.2625788,3360.0,0.0861448,0.8756912,-0.28184143,0.75,3360.0,0.030415932
1.0,168,0.26257703,3380.0,0.08611551,0.8756626,-0.17003971,0.85,3380.0,0.03040738
1.0,169,0.2625775,3400.0,0.08612192,0.875673,-0.25017196,0.9,3400.0,0.030416125
1.0,170,0.2625852,3420.0,0.08615854,0.8757021,-0.23387656,0.7,3420.0,0.030427944
1.0,171,0.2625969,3440.0,0.086165585,0.87575793,-0.22255495,0.7,3440.0,0.030433472
1.0,172,0.26260394,3460.0,0.086151205,0.8757675,-0.14847282,0.75,3460.0,0.03042829
1.0,173,0.26255795,3480.0,0.086203136,0.875585,-0.3151154,0.85,3480.0,0.0304371
1.0,174,0.26257163,3500.0,0.08619517,0.87564343,-0.20500772,0.8,3500.0,0.030438427
1.0,175,0.26258337,3520.0,0.08615196,0.8756848,-0.12505889,0.7,3520.0,0.030432422
1.0,176,0.2625852,3540.0,0.08621014,0.87568825,-0.26700622,0.65,3540.0,0.030445993
1.0,177,0.26260948,3560.0,0.08625957,0.8757865,-0.21821716,0.8,3560.0,0.030453403
1.0,178,0.26261872,3580.0,0.08625073,0.8758351,-0.15911452,0.7,3580.0,0.030449554
1.0,179,0.26262686,3600.0,0.086286604,0.87586194,-0.22890067,0.9,3600.0,0.030459136
1.0,180,0.26265162,3620.0,0.08633032,0.8759497,-0.20840856,0.9,3620.0,0.03046834
1.0,181,0.26265746,3640.0,0.08633613,0.87597704,-0.1268458,0.7,3640.0,0.030471096
1.0,182,0.2626335,3660.0,0.08639089,0.8758829,-0.2544596,0.8,3660.0,0.030487007
1.0,183,0.26260644,3680.0,0.08636349,0.87576675,-0.1463994,0.85,3680.0,0.030480495
1.0,184,0.26261294,3700.0,0.086308874,0.87577647,-0.11536602,0.8,3700.0,0.030467827
1.0,185,0.26261985,3720.0,0.0862959,0.8757987,-0.11360644,0.75,3720.0,0.0304654
1.0,186,0.2625975,3740.0,0.086297266,0.87571067,-0.16047998,0.85,3740.0,0.030464824
1.0,187,0.26259708,3760.0,0.08629826,0.87571067,-0.17178646,0.75,3760.0,0.030466586
1.0,188,0.2625987,3780.0,0.08625237,0.8757146,-0.11136796,0.75,3780.0,0.030450577
1.0,189,0.26263374,3800.0,0.08628497,0.8758362,-0.16263351,0.7,3800.0,0.030467581
1.0,190,0.26262206,3820.0,0.08628451,0.87578267,-0.20384073,0.85,3820.0,0.030468885
1.0,191,0.26262188,3840.0,0.08623374,0.8757837,-0.088540986,0.8,3840.0,0.030458158
1.0,192,0.26262486,3860.0,0.086188175,0.8757792,-0.09659773,0.8,3860.0,0.030445665
1.0,193,0.26261008,3880.0,0.08621576,0.87570685,-0.17238948,0.85,3880.0,0.030455628
1.0,194,0.26260448,3900.0,0.08619491,0.87565714,-0.09388149,0.8,3900.0,0.030450147
1.0,195,0.2625676,3920.0,0.08621422,0.87553024,-0.14951636,0.8,3920.0,0.0304555
1.0,196,0.26255345,3940.0,0.086212,0.8754897,-0.09526937,0.8,3940.0,0.030453678
1.0,197,0.26256496,3960.0,0.08621317,0.8755305,-0.14834373,0.85,3960.0,0.03045896
1.0,198,0.2625495,3980.0,0.08618331,0.8754649,-0.08476296,0.75,3980.0,0.030453727
1.0,199,0.26255876,4000.0,0.08617976,0.8754961,-0.15548328,0.85,4000.0,0.03045692
1.0,200,0.26253232,4020.0,0.08619847,0.87538606,-0.13027288,0.8,4020.0,0.030461272
1.0,201,0.262558,4040.0,0.086206354,0.8754792,-0.0811834,0.8,4040.0,0.030469168
1.0,202,0.262539,4060.0,0.08617998,0.8754037,-0.084634505,0.7,4060.0,0.030466903
1.0,203,0.26255953,4080.0,0.08616251,0.87549335,-0.12725575,0.9,4080.0,0.030463463
1.0,204,0.26255754,4100.0,0.08619065,0.87548727,-0.16074182,0.65,4100.0,0.030474657
1.0,205,0.26256636,4120.0,0.086170964,0.8755196,-0.10828259,0.8,4120.0,0.030468663
1.0,206,0.26258284,4140.0,0.08615998,0.8756027,-0.14740743,0.65,4140.0,0.030466074
1.0,207,0.26258686,4160.0,0.08615887,0.87559885,-0.13979341,0.7,4160.0,0.03046674
1.0,208,0.2625884,4180.0,0.08614061,0.87560254,-0.083269015,0.8,4180.0,0.030458936
1.0,209,0.26258582,4200.0,0.08616257,0.8755839,-0.16921994,0.85,4200.0,0.030463552
1.0,210,0.2625855,4220.0,0.08619297,0.8755732,-0.18274036,0.9,4220.0,0.030472526
1.0,211,0.26258194,4240.0,0.08623179,0.8755629,-0.14822093,0.75,4240.0,0.030484587
1.0,212,0.26259273,4260.0,0.08623534,0.8756044,-0.10151736,0.65,4260.0,0.03048842
1.0,213,0.26261142,4280.0,0.08619969,0.87565786,-0.12280973,0.9,4280.0,0.030479645
1.0,214,0.26261324,4300.0,0.08620182,0.875683,-0.13217418,0.85,4300.0,0.030482953
1.0,215,0.26259956,4320.0,0.086214684,0.87562543,-0.11918402,0.8,4320.0,0.030487472
1.0,216,0.26259,4340.0,0.08619577,0.87558156,-0.075009495,0.8,4340.0,0.03048485
1.0,217,0.2625968,4360.0,0.08620149,0.87560314,-0.13071007,0.7,4360.0,0.0304855
1.0,218,0.26261213,4380.0,0.08621436,0.8756649,-0.11634903,0.85,4380.0,0.030486101
1.0,219,0.26262084,4400.0,0.086189516,0.87569636,-0.086393185,0.75,4400.0,0.03048344
1.0,220,0.26260418,4420.0,0.08623583,0.8756167,-0.16882893,0.8,4420.0,0.030492574
1.0,221,0.26259622,4440.0,0.08625707,0.87558764,-0.07942392,0.8,4440.0,0.030496156
1.0,222,0.26259688,4460.0,0.08625844,0.87559557,-0.1130169,0.7,4460.0,0.030495804
1.0,223,0.26257703,4480.0,0.08631158,0.8755172,-0.18336737,0.7,4480.0,0.030504655
1.0,224,0.26257053,4500.0,0.08630178,0.87548137,-0.09512225,0.8,4500.0,0.030500323
1.0,225,0.2625678,4520.0,0.08630436,0.87546223,-0.116561174,0.7,4520.0,0.030497015
1.0,226,0.26256102,4540.0,0.0863137,0.8754332,-0.10628893,0.7,4540.0,0.030500302
1.0,227,0.26257324,4560.0,0.08630794,0.8754824,-0.08082197,0.8,4560.0,0.030503858
1.0,228,0.2625807,4580.0,0.08627182,0.87550646,-0.07420339,0.75,4580.0,0.030501425
1.0,229,0.26257575,4600.0,0.08624842,0.8754943,-0.06151559,0.55,4600.0,0.030495215
1.0,230,0.2625542,4620.0,0.08625581,0.875406,-0.097610906,0.85,4620.0,0.030498099
1.0,231,0.26253918,4640.0,0.086247645,0.87536687,-0.07615355,0.75,4640.0,0.030496964
1.0,232,0.26252803,4660.0,0.08621725,0.8753018,-0.06114363,0.65,4660.0,0.030488422
1.0,233,0.26252404,4680.0,0.0862278,0.87528163,-0.09137523,0.65,4680.0,0.030490732
1.0,234,0.2625335,4700.0,0.08624626,0.87530446,-0.076383695,0.7,4700.0,0.030497503
1.0,235,0.26253936,4720.0,0.08624206,0.8753133,-0.04900608,0.85,4720.0,0.030493638
1.0,236,0.26253656,4740.0,0.08621045,0.8753024,-0.06713693,0.75,4740.0,0.03048696
1.0,237,0.26252562,4760.0,0.08624477,0.8752444,-0.12793656,0.75,4760.0,0.03049778
1.0,238,0.26252028,4780.0,0.086224206,0.8752323,-0.09387482,0.6,4780.0,0.030491129
1.0,239,0.26251593,4800.0,0.08621944,0.87521267,-0.0928185,0.8,4800.0,0.030489122
1.0,240,0.2624907,4820.0,0.08622507,0.875127,-0.06783828,0.8,4820.0,0.030488933
1.0,241,0.26251307,4840.0,0.086255945,0.87520033,-0.0907298,0.75,4840.0,0.030496866
1.0,242,0.2625098,4860.0,0.08624067,0.87517947,-0.05755846,0.9,4860.0,0.030493077
1.0,243,0.26249832,4880.0,0.08622086,0.8751197,-0.060809027,0.75,4880.0,0.030488383
1.0,244,0.2625001,4900.0,0.08620343,0.87512255,-0.047252655,0.8,4900.0,0.03048041
1.0,245,0.26249665,4920.0,0.086177856,0.87509966,-0.057576448,0.7,4920.0,0.030473044
1.0,246,0.26250145,4940.0,0.086214446,0.87511826,-0.09278861,0.8,4940.0,0.030483056
1.0,247,0.2624997,4960.0,0.086208306,0.87511283,-0.06024952,0.7,4960.0,0.030482247
1.0,248,0.2624939,4980.0,0.086235814,0.8750866,-0.1040956,0.8,4980.0,0.030487906
1.0,249,0.2624872,5000.0,0.08621796,0.8750635,-0.047252912,0.7,5000.0,0.030481696
1.0,250,0.26249653,5020.0,0.086250156,0.87509775,-0.11434953,0.85,5020.0,0.03048864
1.0,251,0.262487,5040.0,0.08624526,0.87506074,-0.093154974,0.8,5040.0,0.030485366
1.0,252,0.26250204,5060.0,0.08623513,0.87511903,-0.05488029,0.8,5060.0,0.03048104
1.0,253,0.26250333,5080.0,0.08623284,0.875124,-0.060218643,0.75,5080.0,0.030477723
1.0,254,0.26249287,5100.0,0.08624926,0.8750739,-0.10337671,0.85,5100.0,0.030480543
1.0,255,0.26247743,5120.0,0.086273395,0.87500453,-0.08963779,0.65,5120.0,0.03048344
